directory,file-root,file-type,thumb-type,name,first-author
assets/research-posters/2018-11-furi-symposium,benson-sheena,pdf,png,Poster,Sheena Benson
assets/research-posters/2018-11-furi-symposium,brauer-cole,pdf,png,Poster,Cole Brauer
assets/research-posters/2019-04-furi-symposium,brauer-cole,pdf,png,Poster,Cole Brauer
assets/research-posters/2017-11-furi-symposium,carlson-drew,pdf,png,Poster,Drew Carlson
assets/research-posters/2018-01-swrs-posters,carlson-drew,pdf,png,Poster,Drew Carlson
assets/research-posters/2018-04-furi-symposium,carlson-drew,pdf,png,Poster,Drew Carlson
assets/research-posters/2018-11-furi-symposium,gilbert-alia,pdf,png,Poster,Alia Gilbert
assets/research-posters/2019-01-swrs-posters,gilbert-alia,pdf,png,Poster,Alia Gilbert
assets/research-posters/2019-04-furi-symposium,gilbert-alia,pdf,png,Poster,Alia Gilbert
assets/research-posters/2018-01-swrs-posters,khodambashi-roozbeh,pdf,png,Poster,Roozbeh Khodambashi
assets/research-posters/2017-04-furi-symposium/,knaup-jacob,pdf,png,Poster,Jacob Knaup
assets/research-posters/2017-11-furi-symposium,knaup-jacob,pdf,png,Poster,Jacob Knaup
assets/research-posters/2018-01-swrs-posters,knaup-jacob,pdf,png,Poster,Jacob Knaup
assets/research-posters/2018-04-furi-symposium,knaup-jacob,pdf,png,Poster,Jacob Knaup
assets/research-posters/2018-11-furi-symposium,lighthouse-guston,pdf,png,Poster,Guston Lighthouse
assets/research-posters/2019-04-furi-symposium,lighthouse-guston,pdf,png,Poster,Guston Lighthouse
assets/research-posters/2019-04-furi-symposium,shafa-taha,pdf,png,Poster,Taha Shafa
assets/research-posters/2018-01-swrs-posters,sharifzadeh-mohammad,pdf,png,Poster,Mohammad Sharifzadeh
assets/research-posters/2019-01-swrs-posters,sharifzadeh-mohammad,pdf,png,Poster,Mohammad Sharifzadeh
assets/research-posters/2019-01-swrs-posters,shuch-ben,pdf,png,Poster,Ben Shuch
assets/research-posters/2019-11-furi-symposium,rana-mannat,pdf,png,Poster,Ben Shuch
